review_id,service_id,review_text,claim_type
184,3,The Blood Test was conducted efficiently and professionally.,Claim
185,9,I had an awful experience with the Mental Health Counseling. The staff was rude.,Claim
186,3,I had a great experience with the Blood Test. The staff was very helpful.,Evidence
187,10,"The Chiropractic Adjustment took way too long, and I felt uncomfortable throughout.",Claim
188,6,The MRI Scan was exactly what I needed to feel better.,Evidence
189,8,"The Dental Cleaning was done with precision, and I felt at ease.",Counterclaim
190,1,"The X-ray Imaging was done with precision, and I felt at ease.",Claim
191,7,"The staff didn’t explain the Flu Shot procedure well, which left me confused.",Evidence
192,2,Everything about the General Checkup went smoothly and as expected.,Evidence
193,10,The Chiropractic Adjustment was quick and painless. Highly recommend it.,Claim
194,4,I had an awful experience with the Vaccination. The staff was rude.,Claim
195,8,The Dental Cleaning was conducted efficiently and professionally.,Claim
196,9,"The Mental Health Counseling was painful, and I wouldn't recommend it to anyone.",Claim
197,9,I felt well-cared for during my Mental Health Counseling procedure.,Claim
198,9,I felt well-cared for during my Mental Health Counseling procedure.,Rebuttal
199,9,The Mental Health Counseling was quick and painless. Highly recommend it.,Evidence
200,5,The Physical Therapy was exactly what I needed to feel better.,Evidence
201,3,"The Blood Test was painful, and I wouldn't recommend it to anyone.",Evidence
202,3,The Blood Test didn't meet my expectations at all.,Evidence
203,7,My Flu Shot experience was frustrating. I had to wait for a long time.,Claim
204,6,"I was not satisfied with the MRI Scan results, it didn’t work for me.",Counterclaim
205,7,The Flu Shot didn't meet my expectations at all.,Claim
206,3,"The Blood Test was done with precision, and I felt at ease.",Evidence
207,4,"The Vaccination was done with precision, and I felt at ease.",Rebuttal
208,2,The General Checkup was exactly what I needed to feel better.,Counterclaim
209,1,The X-ray Imaging was quick and painless. Highly recommend it.,Rebuttal
210,4,I had a great experience with the Vaccination. The staff was very helpful.,Evidence
211,9,My Mental Health Counseling experience was frustrating. I had to wait for a long time.,Claim
212,6,I felt rushed through the MRI Scan. It wasn’t personalized at all.,Evidence
213,5,"The Physical Therapy was painful, and I wouldn't recommend it to anyone.",Counterclaim
214,8,I don’t think the Dental Cleaning was necessary. It didn’t help at all.,Evidence
215,1,The X-ray Imaging was exactly what I needed to feel better.,Counterclaim
216,8,"The staff didn’t explain the Dental Cleaning procedure well, which left me confused.",Rebuttal
217,6,I felt very comfortable during the MRI Scan. The procedure was seamless.,Counterclaim
218,1,My X-ray Imaging experience was frustrating. I had to wait for a long time.,Counterclaim
219,9,"The Mental Health Counseling took way too long, and I felt uncomfortable throughout.",Counterclaim
220,3,I appreciated the clarity of the process during the Blood Test.,Evidence
221,7,I felt very comfortable during the Flu Shot. The procedure was seamless.,Counterclaim
222,2,The staff made the General Checkup process easy and stress-free.,Claim
223,10,"The staff didn’t explain the Chiropractic Adjustment procedure well, which left me confused.",Evidence
224,9,I felt well-cared for during my Mental Health Counseling procedure.,Evidence
225,8,I felt well-cared for during my Dental Cleaning procedure.,Evidence
226,5,I had an awful experience with the Physical Therapy. The staff was rude.,Counterclaim
227,7,The Flu Shot didn't meet my expectations at all.,Evidence
228,10,"The Chiropractic Adjustment took way too long, and I felt uncomfortable throughout.",Evidence
229,3,Everything about the Blood Test went smoothly and as expected.,Evidence
230,8,"The staff didn’t explain the Dental Cleaning procedure well, which left me confused.",Claim
231,1,"The X-ray Imaging was painful, and I wouldn't recommend it to anyone.",Evidence
232,9,The Mental Health Counseling didn't meet my expectations at all.,Counterclaim
233,6,The MRI Scan was conducted efficiently and professionally.,Rebuttal
234,8,Everything about the Dental Cleaning went smoothly and as expected.,Evidence
235,1,The X-ray Imaging didn't meet my expectations at all.,Rebuttal
236,9,I felt rushed through the Mental Health Counseling. It wasn’t personalized at all.,Evidence
237,10,"The Chiropractic Adjustment was painful, and I wouldn't recommend it to anyone.",Rebuttal
238,8,I had an awful experience with the Dental Cleaning. The staff was rude.,Rebuttal
239,9,"The Mental Health Counseling was done with precision, and I felt at ease.",Evidence
240,6,I had a great experience with the MRI Scan. The staff was very helpful.,Claim
241,10,"The Chiropractic Adjustment was done with precision, and I felt at ease.",Counterclaim
242,1,"The X-ray Imaging was done with precision, and I felt at ease.",Claim
243,10,I had a great experience with the Chiropractic Adjustment. The staff was very helpful.,Counterclaim
244,10,I felt very comfortable during the Chiropractic Adjustment. The procedure was seamless.,Rebuttal
245,9,The Mental Health Counseling didn't meet my expectations at all.,Claim
246,6,I felt rushed through the MRI Scan. It wasn’t personalized at all.,Evidence
247,5,I don’t think the Physical Therapy was necessary. It didn’t help at all.,Evidence
248,10,"I was not satisfied with the Chiropractic Adjustment results, it didn’t work for me.",Claim
249,5,I felt well-cared for during my Physical Therapy procedure.,Rebuttal
250,1,"The X-ray Imaging was done with precision, and I felt at ease.",Counterclaim
251,6,I felt very comfortable during the MRI Scan. The procedure was seamless.,Claim
252,5,"The Physical Therapy took way too long, and I felt uncomfortable throughout.",Rebuttal
253,3,My Blood Test experience was frustrating. I had to wait for a long time.,Claim
254,3,"The Blood Test took way too long, and I felt uncomfortable throughout.",Claim
255,3,The Blood Test was exactly what I needed to feel better.,Rebuttal
256,1,I felt very comfortable during the X-ray Imaging. The procedure was seamless.,Evidence
257,3,The staff made the Blood Test process easy and stress-free.,Rebuttal
258,8,I don’t think the Dental Cleaning was necessary. It didn’t help at all.,Claim
259,7,"I was not satisfied with the Flu Shot results, it didn’t work for me.",Evidence
260,5,"The staff didn’t explain the Physical Therapy procedure well, which left me confused.",Counterclaim
261,9,The staff made the Mental Health Counseling process easy and stress-free.,Claim
262,7,"The Flu Shot was done with precision, and I felt at ease.",Claim
263,3,The Blood Test was quick and painless. Highly recommend it.,Evidence
264,8,The staff made the Dental Cleaning process easy and stress-free.,Evidence
265,10,I had an awful experience with the Chiropractic Adjustment. The staff was rude.,Counterclaim
266,1,The X-ray Imaging was conducted efficiently and professionally.,Rebuttal
267,2,I had an awful experience with the General Checkup. The staff was rude.,Rebuttal
268,10,"The Chiropractic Adjustment was painful, and I wouldn't recommend it to anyone.",Rebuttal
269,2,The General Checkup was thorough and informative. Great service.,Claim
270,7,I felt very comfortable during the Flu Shot. The procedure was seamless.,Claim
271,5,"The Physical Therapy was painful, and I wouldn't recommend it to anyone.",Claim
272,2,The General Checkup was exactly what I needed to feel better.,Rebuttal
273,9,I felt very comfortable during the Mental Health Counseling. The procedure was seamless.,Evidence
274,5,"I was not satisfied with the Physical Therapy results, it didn’t work for me.",Claim
275,6,The MRI Scan was quick and painless. Highly recommend it.,Rebuttal
276,7,The staff made the Flu Shot process easy and stress-free.,Counterclaim
277,7,I appreciated the clarity of the process during the Flu Shot.,Evidence
278,8,I felt very comfortable during the Dental Cleaning. The procedure was seamless.,Rebuttal
279,9,"I was not satisfied with the Mental Health Counseling results, it didn’t work for me.",Evidence
280,3,"I was not satisfied with the Blood Test results, it didn’t work for me.",Evidence
281,1,"The X-ray Imaging was painful, and I wouldn't recommend it to anyone.",Evidence
282,3,The Blood Test was conducted efficiently and professionally.,Claim
283,5,I felt rushed through the Physical Therapy. It wasn’t personalized at all.,Counterclaim
284,3,The staff made the Blood Test process easy and stress-free.,Claim
285,4,"I was not satisfied with the Vaccination results, it didn’t work for me.",Counterclaim
286,2,"The staff didn’t explain the General Checkup procedure well, which left me confused.",Counterclaim
287,2,The staff made the General Checkup process easy and stress-free.,Rebuttal
288,7,I had a great experience with the Flu Shot. The staff was very helpful.,Rebuttal
289,8,I felt very comfortable during the Dental Cleaning. The procedure was seamless.,Claim
290,4,The Vaccination was exactly what I needed to feel better.,Claim
291,7,The Flu Shot didn't meet my expectations at all.,Evidence
292,9,I felt rushed through the Mental Health Counseling. It wasn’t personalized at all.,Evidence
293,7,"The staff didn’t explain the Flu Shot procedure well, which left me confused.",Claim
294,5,I had a great experience with the Physical Therapy. The staff was very helpful.,Rebuttal
295,8,I don’t think the Dental Cleaning was necessary. It didn’t help at all.,Rebuttal
296,9,"The staff didn’t explain the Mental Health Counseling procedure well, which left me confused.",Evidence
297,3,I felt rushed through the Blood Test. It wasn’t personalized at all.,Evidence
298,6,I appreciated the clarity of the process during the MRI Scan.,Evidence
299,6,"I was not satisfied with the MRI Scan results, it didn’t work for me.",Claim
300,1,I had a great experience with the X-ray Imaging. The staff was very helpful.,Rebuttal
301,8,"I was not satisfied with the Dental Cleaning results, it didn’t work for me.",Counterclaim
302,9,The Mental Health Counseling was exactly what I needed to feel better.,Evidence
303,5,The Physical Therapy was conducted efficiently and professionally.,Evidence
304,3,I don’t think the Blood Test was necessary. It didn’t help at all.,Rebuttal
305,9,The Mental Health Counseling was thorough and informative. Great service.,Claim
306,5,The Physical Therapy was conducted efficiently and professionally.,Counterclaim
307,3,"I was not satisfied with the Blood Test results, it didn’t work for me.",Evidence
308,7,I felt very comfortable during the Flu Shot. The procedure was seamless.,Rebuttal
309,8,"The Dental Cleaning took way too long, and I felt uncomfortable throughout.",Claim
310,4,The Vaccination was thorough and informative. Great service.,Rebuttal
311,9,Everything about the Mental Health Counseling went smoothly and as expected.,Evidence
312,4,The staff made the Vaccination process easy and stress-free.,Rebuttal
313,7,I had a great experience with the Flu Shot. The staff was very helpful.,Rebuttal
314,6,I don’t think the MRI Scan was necessary. It didn’t help at all.,Evidence
315,3,Everything about the Blood Test went smoothly and as expected.,Rebuttal
316,8,"The staff didn’t explain the Dental Cleaning procedure well, which left me confused.",Claim
317,8,The Dental Cleaning was conducted efficiently and professionally.,Claim
318,10,The Chiropractic Adjustment was quick and painless. Highly recommend it.,Rebuttal
319,5,"The Physical Therapy was done with precision, and I felt at ease.",Claim
320,10,I felt well-cared for during my Chiropractic Adjustment procedure.,Evidence
321,1,"The staff didn’t explain the X-ray Imaging procedure well, which left me confused.",Rebuttal
322,5,The Physical Therapy was conducted efficiently and professionally.,Counterclaim
323,4,"The Vaccination was painful, and I wouldn't recommend it to anyone.",Rebuttal
324,10,The Chiropractic Adjustment was exactly what I needed to feel better.,Counterclaim
325,3,The Blood Test was quick and painless. Highly recommend it.,Evidence
326,5,"The staff didn’t explain the Physical Therapy procedure well, which left me confused.",Rebuttal
327,8,I had an awful experience with the Dental Cleaning. The staff was rude.,Rebuttal
328,9,The Mental Health Counseling was conducted efficiently and professionally.,Counterclaim
329,4,I felt rushed through the Vaccination. It wasn’t personalized at all.,Claim
330,5,I felt very comfortable during the Physical Therapy. The procedure was seamless.,Claim
331,5,The Physical Therapy didn't meet my expectations at all.,Counterclaim
332,6,The MRI Scan was exactly what I needed to feel better.,Counterclaim
333,6,I had a great experience with the MRI Scan. The staff was very helpful.,Rebuttal
334,7,"The staff didn’t explain the Flu Shot procedure well, which left me confused.",Counterclaim
335,5,My Physical Therapy experience was frustrating. I had to wait for a long time.,Counterclaim
336,2,The staff made the General Checkup process easy and stress-free.,Claim
337,5,I had an awful experience with the Physical Therapy. The staff was rude.,Claim
338,2,I felt well-cared for during my General Checkup procedure.,Evidence
339,9,The Mental Health Counseling was exactly what I needed to feel better.,Rebuttal
340,10,I had a great experience with the Chiropractic Adjustment. The staff was very helpful.,Counterclaim
341,9,"The Mental Health Counseling was done with precision, and I felt at ease.",Counterclaim
342,8,"I was not satisfied with the Dental Cleaning results, it didn’t work for me.",Claim
343,7,"The Flu Shot was painful, and I wouldn't recommend it to anyone.",Rebuttal
344,1,"The X-ray Imaging took way too long, and I felt uncomfortable throughout.",Claim
345,4,I had an awful experience with the Vaccination. The staff was rude.,Evidence
346,4,"The Vaccination took way too long, and I felt uncomfortable throughout.",Counterclaim
347,4,I had a great experience with the Vaccination. The staff was very helpful.,Evidence
348,7,The staff made the Flu Shot process easy and stress-free.,Claim
349,5,The Physical Therapy was exactly what I needed to feel better.,Evidence
350,9,Everything about the Mental Health Counseling went smoothly and as expected.,Counterclaim
351,6,I felt rushed through the MRI Scan. It wasn’t personalized at all.,Evidence
352,7,Everything about the Flu Shot went smoothly and as expected.,Rebuttal
353,1,"The staff didn’t explain the X-ray Imaging procedure well, which left me confused.",Claim
354,4,The Vaccination didn't meet my expectations at all.,Evidence
355,3,"The Blood Test was painful, and I wouldn't recommend it to anyone.",Claim
356,4,I felt very comfortable during the Vaccination. The procedure was seamless.,Rebuttal
357,2,The General Checkup didn't meet my expectations at all.,Evidence
358,2,I appreciated the clarity of the process during the General Checkup.,Evidence
359,2,"I was not satisfied with the General Checkup results, it didn’t work for me.",Claim
360,7,I felt well-cared for during my Flu Shot procedure.,Rebuttal
361,10,"I was not satisfied with the Chiropractic Adjustment results, it didn’t work for me.",Rebuttal
362,7,The Flu Shot was quick and painless. Highly recommend it.,Rebuttal
363,3,I felt very comfortable during the Blood Test. The procedure was seamless.,Counterclaim
364,1,The X-ray Imaging was conducted efficiently and professionally.,Claim
365,9,The staff made the Mental Health Counseling process easy and stress-free.,Evidence
366,2,I felt very comfortable during the General Checkup. The procedure was seamless.,Rebuttal
367,8,"The Dental Cleaning was done with precision, and I felt at ease.",Evidence
368,8,The Dental Cleaning was thorough and informative. Great service.,Counterclaim
369,3,The staff made the Blood Test process easy and stress-free.,Evidence
370,9,"The Mental Health Counseling took way too long, and I felt uncomfortable throughout.",Rebuttal
371,3,The Blood Test was exactly what I needed to feel better.,Claim
372,4,I had a great experience with the Vaccination. The staff was very helpful.,Evidence
373,6,I felt well-cared for during my MRI Scan procedure.,Evidence
374,1,The X-ray Imaging was thorough and informative. Great service.,Evidence
375,9,I had an awful experience with the Mental Health Counseling. The staff was rude.,Claim
376,7,The Flu Shot was conducted efficiently and professionally.,Evidence
377,4,I felt very comfortable during the Vaccination. The procedure was seamless.,Counterclaim
378,10,"The Chiropractic Adjustment was done with precision, and I felt at ease.",Evidence
379,1,"I was not satisfied with the X-ray Imaging results, it didn’t work for me.",Claim
380,10,"The Chiropractic Adjustment was done with precision, and I felt at ease.",Rebuttal
381,9,I felt well-cared for during my Mental Health Counseling procedure.,Counterclaim
382,8,The Dental Cleaning was exactly what I needed to feel better.,Claim
383,3,The Blood Test was exactly what I needed to feel better.,Evidence
384,4,"The Vaccination took way too long, and I felt uncomfortable throughout.",Counterclaim
385,3,"I was not satisfied with the Blood Test results, it didn’t work for me.",Evidence
386,2,The General Checkup was thorough and informative. Great service.,Counterclaim
387,7,The Flu Shot didn't meet my expectations at all.,Claim
388,8,I appreciated the clarity of the process during the Dental Cleaning.,Claim
389,10,"The staff didn’t explain the Chiropractic Adjustment procedure well, which left me confused.",Claim
390,5,The Physical Therapy was exactly what I needed to feel better.,Counterclaim
391,5,The Physical Therapy was conducted efficiently and professionally.,Counterclaim
392,2,The General Checkup was conducted efficiently and professionally.,Counterclaim
393,5,The Physical Therapy was thorough and informative. Great service.,Counterclaim
394,7,The Flu Shot was thorough and informative. Great service.,Evidence
395,4,I don’t think the Vaccination was necessary. It didn’t help at all.,Counterclaim
396,10,The staff made the Chiropractic Adjustment process easy and stress-free.,Claim
397,8,I felt very comfortable during the Dental Cleaning. The procedure was seamless.,Evidence
398,4,The Vaccination was conducted efficiently and professionally.,Rebuttal
